GeneId	Symbol	Normal_transcript	Tumor_transcript	Tumor	p_pannegative	Number_ME_drivers	ME_drivers	Same_pathway_driver	p_me_pathway_driver
100	ADA	uc002xmj.2	uc010ggt.2	prad	0.04080010563733535	2	SPOP, TP53	ATM (PID_DELTANP63PATHWAY)	1.0
1000	CDH2	uc010xbn.1	uc002kwg.2	luad	NA	NA	NA	KRAS (REACTOME_DEVELOPMENTAL_BIOLOGY)	0.7500071665415871
1000	CDH2	uc010xbn.1	uc002kwg.2	lusc	NA	NA	NA	PIK3CA (PID_NCADHERINPATHWAY,PID_PTP1BPATHWAY,REACTOME_CELL_CELL_COMMUNICATION,PID_FGF_PATHWAY)	0.15168539325842428
1000	CDH2	uc010xbn.1	uc002kwg.2	hnsc	NA	NA	NA	PIK3CA (PID_NCADHERINPATHWAY,REACTOME_CELL_CELL_COMMUNICATION,PID_PTP1BPATHWAY,PID_FGF_PATHWAY)	0.11403598391561104
10006	ABI1	uc001isz.2	uc010qdg.1	prad	NA	NA	NA	BRAF (PID_ERBB1_DOWNSTREAM_PATHWAY,PID_PDGFRBPATHWAY)	0.07140136591817946
10006	ABI1	uc001isz.2	uc010qdg.1	kirp	NA	NA	NA	MET (PID_ECADHERIN_STABILIZATION_PATHWAY)	1.0
10006	ABI1	uc001ita.2	uc001isz.2	lusc	NA	NA	NA	FN1 (PID_INTEGRIN_A4B1_PATHWAY)	0.5191466888511821
1001	CDH3	uc002ewf.2	uc010vli.1	hnsc	NA	NA	NA	PIK3CA (REACTOME_CELL_CELL_COMMUNICATION)	1.0
10010	TANK	uc002ubs.2	uc002ubr.1	hnsc	NA	NA	NA	PIK3CA (REACTOME_IMMUNE_SYSTEM)	1.0
10010	TANK	uc002ubs.2	uc002ubr.1	lusc	NA	NA	NA	PIK3CA (REACTOME_IMMUNE_SYSTEM)	0.06051444746454923
10011	SRA1	uc003lfz.2	uc003lga.2	kirp	NA	NA	NA	FAT1 (BIOCARTA_PPARA_PATHWAY)	0.22311448063352796
