Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
1;BCL6-HDAC4 complex;;Human;P41182,P56524;604,9759;MI:0007- anti tag coimmunoprecipitation;11929873;10.01.09.05,11.02.03.04.03,14.07.04,42.10.03,43.03.07.02.01.01,70.10;"Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.";"";""
2;BCL6-HDAC5 complex;;Human;P41182,Q9UQL6;604,10014;MI:0007- anti tag coimmunoprecipitation;11929873;10.01.09.05,11.02.03.04.03,14.07.04,42.10.03,43.03.07.02.01.01,70.10;"Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.";"";""
3;BCL6-HDAC7 complex;;Human;P41182,Q8WUI4;604,51564;MI:0007- anti tag coimmunoprecipitation;11929873;10.01.09.05,11.02.03.04.03,14.07.04,42.10.03,43.03.07.02.01.01,70.10;"Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.";"";""
4;Multisubunit ACTR coactivator complex;;Human;Q92793,Q09472,Q9Y6Q9,Q92831;1387,2033,8202,8850;MI:0004- affinity chromatography technologies | MI:0018- two hybrid;9267036;11.02.03.04.01,30.01.11,70.10;"Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.";"";""
9;6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex;;Mouse;P30561,P53762;11622,11863;MI:0019- coimmunoprecipitation;1317062;11.02.03.04,16.03.01,30.01.11,34.11.03,70.10;"Arnt contains a basic helix-loop-helix motif, which may be responsible for interacting with both the XRE (xenobiotic responsive element) and the ligand-binding subunit.";"";""
10;13S condensin complex;;Human;Q15021,Q9BPX3,Q15003,O95347,Q9NTJ3;9918,64151,23397,10592,10051;MI:0004- affinity chromatography technologies | MI:0019- coimmunoprecipitation;11136719;10.03.01.01.11,10.03.04.03,10.03.04.05,42.10.03,70.10.03;"";"";""
11;BLOC-3 (biogenesis of lysosome-related organelles complex 3);;Human;Q92902,Q9NQG7;3257,89781;MI:0019- coimmunoprecipitation | MI:0029- cosedimentation through density gradients;12847290;42.22,42.25;"The results suggest that HPS1 and HPS4 are components of a protein complex that regulates the intracellular localization of lysosomes and late endosomes and may function in a BLOC-1-dependent pathway for melanosome biogenesis.";"HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).";""
12;BLOC-2 (biogenesis of lysosome-related organelles complex 2);;Human;Q969F9,Q9UPZ3,Q86YV9;84343,11234,79803;MI:0019- coimmunoprecipitation | MI:0029- cosedimentation through density gradients | MI:0071- molecular sieving;15030569;42.22,42.25;"The results suggest that BLOC-2 is not critical for basal levels of secretion of lysosomal enzymes by fibroblasts.";"HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome.";""
13;MUS81-CDS1 complex;;Human;Q92903,Q96NY9;1040,80198;MI:0004- affinity chromatography technologies;11741546;10.01.05.01,10.01.05.03;"";"";""
14;BLOC-2 (biogenesis of lysosome-related organelles complex 2);;Mouse;Q91VB4,P59438,Q8BLY7;12807,246694,20170;MI:0019- coimmunoprecipitation | MI:0029- cosedimentation through density gradients | MI:0071- molecular sieving;14718540;42.22,42.25;"The results indicate that the Hps3, Hps5, and Hps6 proteins regulate vesicle trafficking to lysosome-related organelles at the physiological level as components of the BLOC-2 complex.";"HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).";""
